"48";"Amitriptylline 25mg (Tryptizol 25)Tablets ";NULL;"361";"chronic"
"49";"Carbamazepine 200mg (Tegretol 200Tablets ";NULL;"361";"chronic"
"50";"Phenytoin 100mg ( Epanutin 100)Tablets ";NULL;"361";"chronic"
"51";"Trihexephenidyl 5mg ( Artane) Tablets ";NULL;"361";"chronic"
"52";"Carbidopa Levidopa 25mg, 250mg ( Sinemet25-250) Tablets ";NULL;"361";"chronic"
"53";"Sodium Valproate 200mg ( Depakine 200) Tablets ";NULL;"361";"chronic"
"54";"Sodium Valproate 500mg ( Depakine 500) Tablets ";NULL;"361";"chronic"
"55";"Respiratory Tract";NULL;"361";NULL
"56";"Theophylline 100mg ( Aminophylline100) Tabs, Supp ";NULL;"361";"chronic"
"57";"Salbutamol 4mg( Ventolin4) Tablets ";NULL;"361";"chronic"
"58";"Salbutamol Inhaler Ventolin Inhaler Inhaler ";NULL;"361";"chronic"
"59";"Clenil / 250mg Spray Forte Inhaler ";NULL;"361";"chronic"
"60";"Hyperlypemia";NULL;"361";"generic"
"61";"Fenofibrate 100mg ( Lipanthyl 100)Tablets ";NULL;"361";"chronic"
"62";"Fenofibrate 200mg ( Lipanthyl 200)Tablets ";NULL;"361";"chronic"
"63";"Simvastatin 20mg ( Zocor 20)Tablets ";NULL;"361";"chronic"
"64";"Antigout";NULL;"361";NULL
"65";"Allopurinol 100mg ( Zyloric100) Tablets ";NULL;"361";"chronic"
"66";"Loratidine 10mg tab";NULL;"361";"non chronic"
"67";"Ranitidine 150mg ( Zantac 150)Tablets ";NULL;"361";"chronic"
"68";"Lanzoprazol 30mg ( Lanzor30) Tablets";NULL;"361";"chronic"
"69";"Thyroid Problems";NULL;"361";NULL
"70";"Levothyroxin 0.1mg ( Eltroxin 0.1mg)Tablets ";NULL;"361";"chronic"
"71";"Ocular Hypertension";NULL;"361";NULL
"72";"Timolol 0.05% (Timoptol 0.5%) Drops ";NULL;"361";"chronic"
"73";"Acetazolamide 250mg (Diamox ) Tablets ";NULL;"361";"chronic"
"74";"Retinopathy";NULL;"361";NULL
"75";"Dobesilate De Calcium 500mg (Doxium) Tablets ";NULL;"361";"chronic"
"76";"Osteoporosis";NULL;"361";NULL
"77";"Calcium-D Caltrate 600 Tablets ";NULL;"361";"chronic"
"78";"Naproxen 375mg (Anaprox 375) Tablets ";NULL;"361";"non chronic"
"79";"Naproxen 500mg ( Anaprox 500)Tablets ";NULL;"361";"non chronic"
"80";"Ibuprofen 400mg tab";NULL;"361";"non chronic"
"81";"EDICINES NAME TYPE Quantity/Month";NULL;"361";NULL
"82";"Cough Formula Child & Adult Syrup 30,000";NULL;"361";"non chronic"
"83";"Tylenol Child Bubble Gum Syrup 50,000";NULL;"361";"non chronic"
"84";"Ibuprofen 200mg tab";NULL;"361";"non chronic"
"85";"Tylenol Cherry Drops 1,000";NULL;"361";"non chronic"
"86";"Tylenol Throat Adult 8 Oz Syrup 10,000";NULL;"361";"non chronic"
"87";"Brufen Child 100/5ml 4 Oz Syrup 5,000";NULL;"361";"non chronic"
"88";"Brufen Motrin Infant 1/2 Oz Drops 2,000";NULL;"361";"non chronic"
"89";"Motrin Advil 200mg Tab 10,000";NULL;"361";"non chronic"
"90";"Ceftin Cefuroxine 125mg/5ml Syrup 3,000";NULL;"361";"non chronic"
"91";"Ceftin Cefuroxine 100mg/5ml P.M Suspention 10,000";NULL;"361";"non chronic"
"92";"Ceftin Cefuroxine 100mg/5ml G.M Suspention 10,000";NULL;"361";"non chronic"
"93";"Ceftin Cefuroxine 250mg/5ml Syrup 10,000";NULL;"361";"non chronic"
"94";"Ceftin 250mg Tab 5,000";NULL;"361";"non chronic"
"95";"Ceftin 500mg Tab 5,000";NULL;"361";"non chronic"
"96";"Augmentin 375mg Tab 5,000";NULL;"361";"non chronic"
"97";"Augmentin 100ml Syrup 5,000";NULL;"361";"non chronic"
"98";"Augmentin 312mg Injection 5,000";NULL;"361";"non chronic"
"99";"Augmentin 1.2g Ampoul 10,000";NULL;"361";"non chronic"
"100";"Augmentin Infant 62.5/20ml Drops 5,000";NULL;"361";"non chronic"
"101";"Augmentin 600mg Ampoul 10,000";NULL;"361";"non chronic"
"102";"Gauze Compress Boxes 50,000";NULL;"361";"non chronic"
"103";"Cotton Bags 10,000";NULL;"361";"non chronic"
"104";"Antiseptic Powder 10 Oz Powder 10,000";NULL;"361";"non chronic"
"105";"Amoxicillin/clavulanic acid tab 1gr                                        ";NULL;"361";"non chronic"
"106";"Povidine Iodine 16 Oz Solution 10,000";NULL;"361";"non chronic"
"107";"Band Aid (All Sizes) Boxes 50,000";NULL;"361";"non chronic"
"108";"Micropore Tapes (Different Sizes) Tapes 2,000";NULL;"361";"non chronic"
"109";"Triple Antibiotic Ointment 50,000";NULL;"361";"non chronic"
"110";"Azithromycin 250 mg blister tab";NULL;"361";"non chronic"
"111";"Beclometason,200 puffs,inhaler";NULL;"361";"non chronic"
"112";"Cefixime 400 mg";NULL;"361";"non chronic"
"113";"Cephalexine 250mg/5ml susp";NULL;"361";"non chronic"
"114";"Cephalexine 500 mg cp";NULL;"361";"non chronic"
"115";"Chlorphenaramine 4mg tb";NULL;"361";"non chronic"
"116";"Ciprofloxacintb 500mg";NULL;"361";"non chronic"
"117";"Cotrimoxazole 400mg/80mg breakable tab";NULL;"361";"non chronic"
"118";"Cotrimoxazole 200mg/40mg/5ml,oral sol 100ml btl";NULL;"361";"non chronic"
"119";"Doxycycline hydrochloride   100mg tb";NULL;"361";"non chronic"
"120";"Ferrous fumarate 185mg (60mg iron)/folic acid 0.4mg ,tb";NULL;"361";"non chronic"
"121";"Flucanazole 150mg tab";NULL;"361";"non chronic"
"122";"Folic acid 5mg tb";NULL;"361";"non chronic"
"123";"Metoclopramide hydrochloride tab";NULL;"361";"non chronic"
"124";"Metronidazole125mg/5ml syrup";NULL;"361";"non chronic"
"125";"Hyoscine butyibromide 10mg tab";NULL;"361";"non chronic"
"126";"Metronidazole 500mg tab";NULL;"361";"non chronic"
"127";"Omeprazole 20 mg";NULL;"361";"chronic"
"128";"Paracetamol 500 mg tab";NULL;"361";"non chronic"
"129";"Polygynax ovule";NULL;"361";"non chronic"
"130";"Rhinathiol promethazine syr 125ml";NULL;"361";"non chronic"
"131";"Paracetamol syrup 120mg/5ml";NULL;"361";"non chronic"
"132";"levonorgestrel 750 postiner";NULL;"361";"non chronic"
"133";"loratidine 5mg/5ml syr 100 ml bot";NULL;"361";"non chronic"
"134";"Microgynon ED FE(levonorgestrel 0.15 )   eth";NULL;"361";"non chronic"
"135";"Microlut(levonorgestrel 0.03mg tab";NULL;"361";"non chronic"
"136";"Nystatin 500000UI/ml syr";NULL;"361";"non chronic"
"137";"ORS";NULL;"361";"non chronic"
"138";"Zinc sulphate or gluconate";NULL;"361";"non chronic"
"139";"Vitamins and minerals tab";NULL;"361";"non chronic"
"140";"Salbutamol,200 puffs, 0.1mg /puff,inhaler";NULL;"361";"chronic"
"141";"Rifampicine tab 300 mg";NULL;"361";"non chronic"
"142";"Injectables";NULL;"361";NULL
"143";"Depo-provera (medroxyprogesterone Depo150 mg) amp";NULL;"361";"non chronic"
"144";"Ramipril 5mg (Tritace 5)";NULL;"361";"chronic"
"145";"Ramipril 10mg (Tritace 10)";NULL;"361";"chronic"
"146";"Valsartan 80mg (Diovan 80)";NULL;"361";"chronic"
"147";"HTZ 25 (Esidrex)";NULL;"361";"chronic"
"148";"Fluoxetine 20mg (Prozac 20mg)";NULL;"361";"chronic"
"149";"Sertraline 50mg (Zoloft)";NULL;"361";"chronic"
"150";"Beclomethasone INHALER 50µg (Becotide 50µg)";NULL;"361";"chronic"
"151";"Ipratropium (Atrovent)";NULL;"361";"chronic"
"152";"Montelukast 5mg (Singulair 5mg)";NULL;"361";"chronic"
"153";"Montelukast 10mg (Singulair 10mg)";NULL;"361";"chronic"
"154";"Rosuvastatin 10mg (Crestor 10mg)";NULL;"361";"chronic"
"155";"Levothyroxin 0.025mg (Eltroxin)";NULL;"361";"chronic"
"156";"Clopidogrel 75mg (Plavix)";NULL;"361";"chronic"
"157";"Carbamazepine 400mg (Tegretol 400)";NULL;"361";"chronic"
"158";"Sodium Valproate 500mg Chrono MG (Depakine 500 CR)";NULL;"361";"chronic"
"159";"Sodium Valproate 200mg/5ml (Depakine SUSP)";NULL;"361";"chronic"
"160";"Dorzolamide 20mg/ml+Timolol (Cosopt)";NULL;"361";"chronic"
